Country,Provider,Type,plan name,data amount (IN MB),cost,currency,plan frequency,additional field info,Conversion Factor to Euro,Cost in Euro,data_amount_MB_numeric,Size_GB,Price_per_GB,plan_frequency_days,updated_dtm
Germany,1&1,Domestic,1&1 Prepaid Jahrespaket S,20480,49.99,€,12 months,"Speed: Up to 300 MBit/s in Download, up to 50 MBit/s in Upload. SIM Card Fee: €29.90, includes €30 start credit after activation. The contract ends automatically without requiring termination.",0.86,42.9914,20480,20,2.14957,365,2026-02-11
Germany,1&1,Domestic,1&1 Prepaid Jahrespaket M,61440,69.99,€,12 months,"Speed: Up to 300 MBit/s in Download, up to 50 MBit/s in Upload. The contract ends automatically after the minimum contract duration without requiring termination.",0.86,60.1914,61440,60,1.00319,365,2026-02-11
Germany,1&1,Domestic,1&1 All-Net-Flat S,30720,14.99,€,1 month,"€9.99 for the first 3 months, then €14.99/month. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,12.8914,30720,30,0.4297133333,30,2026-02-11
Germany,1&1,Domestic,1&1 All-Net-Flat M,61440,19.99,€,1 month,"€9.99 for the first 3 months, then €19.99/month. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,17.1914,61440,60,0.2865233333,30,2026-02-11
Germany,1&1,Domestic,1&1 All-Net-Flat L,122880,24.99,€,1 month,"€9.99 for the first 3 months, then €24.99/month. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,21.4914,122880,120,0.179095,30,2026-02-11
Germany,1&1,Domestic,1&1 Unlimited XS,0,19.99,€,1 month,"Unlimited. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,17.1914,,,,30,2026-02-11
Germany,1&1,Domestic,1&1 Unlimited on demand S,30720,19.99,€,1 month,"Additional GB can be activated for free. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,17.1914,30720,30,0.5730466667,30,2026-02-11
Germany,1&1,Domestic,1&1 Unlimited on demand M,61440,24.99,€,1 month,"Additional GB can be activated for free. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,21.4914,61440,60,0.35819,30,2026-02-11
Germany,1&1,Domestic,1&1 Unlimited on demand L,122880,29.99,€,1 month,"Additional GB can be activated for free. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,25.7914,122880,120,0.2149283333,30,2026-02-11
Germany,1&1,Domestic,1&1 Unlimited XL,0,39.99,€,1 month,"Unlimited from the start. Unlimited calls & SMS, EU roaming, free number portability, 5G coverage.",0.86,34.3914,,,,30,2026-02-11
Germany,1&1,Domestic,30 GB Plan,30720,14.99,€,,"300 MBit/s 5G Highspeed, Unlimitierte Telefonie & SMS, EU-Ausland Flatrates, Kostenlose Rufnummernmitnahme, 1&1 Service Card",0.86,12.8914,30720,30,0.4297133333,,2026-02-11
Germany,1&1,Domestic,60 GB Plan (TIPP),61440,19.99,€,,Same as 30 GB plan,0.86,17.1914,61440,60,0.2865233333,,2026-02-11
Germany,1&1,Domestic,120 GB Plan,122880,24.99,€,,Same as 30 GB plan,0.86,21.4914,122880,120,0.179095,,2026-02-11
Germany,1&1,Domestic,30 GB Plan,30720,24.99,€,,"Unlimitierte GB, Unlimitierte Telefonie & SMS, EU-Ausland Flatrates, Kostenlose Rufnummernmitnahme, 1&1 Service Card",0.86,21.4914,30720,30,0.71638,,2026-02-11
Germany,1&1,Domestic,60 GB Plan (TIPP),61440,29.99,€,,Same as 30 GB plan,0.86,25.7914,61440,60,0.4298566667,,2026-02-11
Germany,1&1,Domestic,120 GB Plan,122880,34.99,€,,Same as 30 GB plan,0.86,30.0914,122880,120,0.2507616667,,2026-02-11
Germany,1&1,Domestic,Unlimited Plan,0,39.99,€,,"Unlimitierte GB from the start, Unlimitierte Telefonie & SMS, EU-Ausland Flatrates, Kostenlose Rufnummernmitnahme, 1&1 Service Card",0.86,34.3914,,,,,2026-02-11
Germany,1&1,Domestic,Unlimited XS Plan,0,19.99,€,,"Unlimitierte GB with LTE 10 MBit/s, 30 GB in EU-Ausland, Unlimitierte Telefonie & SMS",0.86,17.1914,,,,,2026-02-11
Germany,Airalo,Roaming,Hallo! Mobil - 1 GB,1024,5,USD,7 Days,,0.86,4.3,1024,1,4.3,7,2026-01-11
Germany,Airalo,Roaming,Hallo! Mobil - 2 GB,2048,6.5,USD,15 Days,,0.86,5.59,2048,2,2.8,15,2026-01-11
Germany,Airalo,Roaming,Hallo! Mobil - 3 GB,3072,10,USD,30 Days,,0.86,8.6,3072,3,2.87,30,2026-01-11
Germany,Airalo,Roaming,Hallo! Mobil - 5 GB,5120,15,USD,30 Days,,0.86,12.9,5120,5,2.58,30,2026-01-11
Germany,Airalo,Roaming,Hallo! Mobil - 10 GB,10240,22.5,USD,30 Days,,0.86,19.35,10240,10,1.94,30,2026-01-11
Germany,Airalo,Roaming,Hallo! Mobil - 20 GB,20480,26,USD,30 Days,,0.86,22.36,20480,20,1.12,30,2026-01-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,1024,3.83,EUR,"5, 7, 10, 15, 20, 30, 60, 90 Days","28% OFF, Daily Refresh",1,3.83,1024,1,3.83,"5, 7, 10, 15, 20, 30, 60, 90 ",2026-01-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,2048,2.98,EUR,"5, 7, 10, 15, 20, 30 Days","20% OFF, Daily Refresh",1,2.98,2048,2,1.49,"5, 7, 10, 15, 20, 30 ",2026-01-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,3072,2.41,EUR,"5, 7, 10, 15, 20, 30 Days","25% OFF, Daily Refresh",1,2.41,3072,3,0.8,"5, 7, 10, 15, 20, 30 ",2026-01-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,500,7.4,EUR,"5, 7, 10, 15, 20, 30, 60, 90 Days","35% OFF, Daily Refresh",1,7.4,500,0.49,15.16,"5, 7, 10, 15, 20, 30, 60, 90 ",2026-01-11
Germany,AirDataLink,Roaming,Essential Europe eSIM,3072,,EUR,30 Days,"21% OFF, Total Data Plan",1,,3072,3,,30,2026-01-11
Germany,AirDataLink,Roaming,Europe 49 eSIM,3072,,EUR,30 Days,"49% OFF, Total Data Plan",1,,3072,3,,30,2026-01-11
Germany,AirDataLink,Roaming,Germany eSIM,,,EUR,7 Days,"55% OFF, Total Data Plan",1,,1024,1,,7,2026-01-11
Germany,AirDataLink,Roaming,Discover Europe eSIM,3072,,EUR,30 Days,"16% OFF, Total Data Plan",1,,3072,3,,30,2026-01-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,1024,3.83,EUR,"5, 7, 10, 15, 20, 30, 60, 90 Days","28% OFF, Daily Refresh",1,3.83,1024,1,3.83,"5, 7, 10, 15, 20, 30, 60, 90 ",2026-02-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,2048,2.98,EUR,"5, 7, 10, 15, 20, 30 Days","20% OFF, Daily Refresh",1,2.98,2048,2,1.49,"5, 7, 10, 15, 20, 30 ",2026-02-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,3072,2.41,EUR,"5, 7, 10, 15, 20, 30 Days","25% OFF, Daily Refresh",1,2.41,3072,3,0.8,"5, 7, 10, 15, 20, 30 ",2026-02-11
Germany,AirDataLink,Roaming,Essential Europe Daily Plan eSIM,500,7.4,EUR,"5, 7, 10, 15, 20, 30, 60, 90 Days","35% OFF, Daily Refresh",1,7.4,500,0.49,15.16,"5, 7, 10, 15, 20, 30, 60, 90 ",2026-02-11
Germany,AirDataLink,Roaming,Essential Europe eSIM,3072,,EUR,30 Days,"21% OFF, Total Data Plan",1,,3072,3,,30,2026-01-11
Germany,AirDataLink,Roaming,Europe 49 eSIM,3072,,EUR,30 Days,"49% OFF, Total Data Plan",1,,3072,3,,30,2026-01-11
Germany,AirDataLink,Roaming,Germany eSIM,1024,,EUR,7 Days,"55% OFF, Total Data Plan",1,,1024,1,,7,2026-01-11
Germany,AirDataLink,Roaming,Discover Europe eSIM,3072,,EUR,30 Days,"16% OFF, Total Data Plan",1,,3072,3,,30,2026-01-11
Germany,Airhub,Roaming,Germany 3GB 30 Days,3072,10,USD,30 Days,,0.86,8.6,3072,3,2.87,30,2026-01-11
Germany,Airhub,Roaming,Germany 5GB 30 Days,5120,13,USD,30 Days,,0.86,11.18,5120,5,2.24,30,2026-01-11
Germany,Airhub,Roaming,Germany Unlimited 5 Days,,18,USD,5 Days,,0.86,15.48,,,,5,2026-01-11
